"year","canton","sex","marital_status","population"
2021,"Zug","Male","Widowed, partnership dissolved through death",1083
2021,"Zug","Male","Divorced, unmarried, partnership dissolved legally",4679
2021,"Zug","Female","Single",26560
2021,"Zug","Female","Married, in a registered partnership",27937
2021,"Zug","Female","Widowed, partnership dissolved through death",3955
2021,"Zug","Female","Divorced, unmarried, partnership dissolved legally",5593
2021,"Fribourg / Freiburg","Male","Single",82207
2021,"Fribourg / Freiburg","Male","Married, in a registered partnership",67527
2021,"Fribourg / Freiburg","Male","Widowed, partnership dissolved through death",2748
2021,"Fribourg / Freiburg","Male","Divorced, unmarried, partnership dissolved legally",12591
2021,"Fribourg / Freiburg","Female","Single",72151
2021,"Fribourg / Freiburg","Female","Married, in a registered partnership",65918
2021,"Fribourg / Freiburg","Female","Widowed, partnership dissolved through death",10959
2021,"Fribourg / Freiburg","Female","Divorced, unmarried, partnership dissolved legally",15730
2021,"Solothurn","Male","Single",64280
2021,"Solothurn","Male","Married, in a registered partnership",61414
2021,"Solothurn","Male","Widowed, partnership dissolved through death",3032
2021,"Solothurn","Male","Divorced, unmarried, partnership dissolved legally",11299
2021,"Solothurn","Female","Single",54691
2021,"Solothurn","Female","Married, in a registered partnership",60029
2021,"Solothurn","Female","Widowed, partnership dissolved through death",11069
2021,"Solothurn","Female","Divorced, unmarried, partnership dissolved legally",14393
2021,"Basel-Stadt","Male","Single",50096
2021,"Basel-Stadt","Male","Married, in a registered partnership",35759
2021,"Basel-Stadt","Male","Widowed, partnership dissolved through death",1891
2021,"Basel-Stadt","Male","Divorced, unmarried, partnership dissolved legally",7646
2021,"Basel-Stadt","Female","Single",46722
2021,"Basel-Stadt","Female","Married, in a registered partnership",34545
2021,"Basel-Stadt","Female","Widowed, partnership dissolved through death",7832
2021,"Basel-Stadt","Female","Divorced, unmarried, partnership dissolved legally",11521
2021,"Basel-Landschaft","Male","Single",63832
2021,"Basel-Landschaft","Male","Married, in a registered partnership",65925
2021,"Basel-Landschaft","Male","Widowed, partnership dissolved through death",3376
